video_name,mIoU,mNSD
video_41,0.7724814555841654,0.790973325406943
video_42,0.7209443492124933,0.7319780823952112
video_43,0.7407278678148429,0.7557517908650475
video_44,0.7102633747228776,0.7403332112413463
video_45,0.7638265115614884,0.819058375240278
video_46,0.7203203289867466,0.757879965902009
video_47,0.7470311000679061,0.7927482629111824
video_48,0.7944104005192432,0.8219510863774727
video_49,0.6764456851452111,0.7111850680984326
video_50,0.7367917433400031,0.8021883086233677
