video_name,mIoU,mNSD
video_41,0.8073490526636734,0.8252599618208954
video_42,0.7604059855495574,0.7831891799076216
video_43,0.7673899661681822,0.7851053736863531
video_44,0.734104244825148,0.7681309611832531
video_45,0.7790122962338323,0.8372583877709177
video_46,0.7636758583436898,0.8082977732561256
video_47,0.7812461233727265,0.8295804954971067
video_48,0.8295723168025033,0.859404904065855
video_49,0.7092677476585817,0.7472853982830444
video_50,0.7663444512046151,0.835544186405357
